id,lat,lon,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,frp,data
15e738ce-1b38-3df0-a862-9daefc25a4bc,0.07196,-51.38868,2024-09-29 13:29:00,TERRA_M-T,SANTANA,AMAPÁ,Brasil,1600600,16,33,,,,Amazônia,18.7,20240929
39563b9d-69a0-36b5-b56e-bf16083c98f9,-0.04602,-51.36385,2024-09-28 17:41:00,AQUA_M-T,SANTANA,AMAPÁ,Brasil,1600600,16,33,,,,Amazônia,7.3,20240928
2991d25d-71b9-34aa-acc3-00d895695166,-7.56371,-38.33643,2024-09-29 04:02:00,NOAA-21,SANTANA DE MANGUEIRA,PARAÍBA,Brasil,2513505,25,33,,,,Caatinga,5.0,20240929
bed4f535-f168-3809-8728-457248276d62,-23.49672,-46.98254,2024-09-29 17:22:00,NOAA-20,SANTANA DE PARNAÍBA,SÃO PAULO,Brasil,3547304,35,33,,,,Mata Atlântica,6.5,20240929
d7ec68d0-9dc2-312f-9558-69a403460dd9,-23.4354,-46.9202,2024-09-28 16:52:00,NOAA-21,SANTANA DE PARNAÍBA,SÃO PAULO,Brasil,3547304,35,33,,,,Mata Atlântica,3.3,20240928
88d963cb-1b97-38e7-873d-31aa7b4bfad4,-18.70271,-43.91212,2024-09-29 16:37:00,NOAA-21,SANTANA DE PIRAPAMA,MINAS GERAIS,Brasil,3158508,31,33,,,,Cerrado,4.3,20240929
1f0fffb3-ff99-3712-9d2c-17bda65c8289,-18.71919,-43.91364,2024-09-28 17:37:00,AQUA_M-T,SANTANA DE PIRAPAMA,MINAS GERAIS,Brasil,3158508,31,33,,,,Cerrado,30.7,20240928
61476392-04f6-3a9d-bcc2-20d6d1c3fb00,-18.73075,-43.85473,2024-09-28 04:23:00,NOAA-21,SANTANA DE PIRAPAMA,MINAS GERAIS,Brasil,3158508,31,33,,,,Cerrado,3.9,20240928
09ac6a64-c912-3c1e-8851-8c2c4b8221d5,-8.73059,-51.02318,2024-09-30 05:23:00,NOAA-21,SANTANA DO ARAGUAIA,PARÁ,Brasil,1506708,15,33,,,,Amazônia,0.9,20240930
36aba743-22dd-3979-b09b-6a5e0f880229,-9.5727,-50.1731,2024-09-30 01:12:30,METOP-B,SANTANA DO ARAGUAIA,PARÁ,Brasil,1506708,15,33,,,,Amazônia,,20240930
18b836ba-6d11-3f7c-b3b6-62a550b33c06,-9.55942,-50.13758,2024-09-29 18:19:00,AQUA_M-T,SANTANA DO ARAGUAIA,PARÁ,Brasil,1506708,15,33,,,,Amazônia,33.4,20240929
681d4cca-98cb-326e-bad5-0ac7b16184bd,-9.56593,-50.19314,2024-09-29 04:49:00,NOAA-20,SANTANA DO ARAGUAIA,PARÁ,Brasil,1506708,15,33,,,,Amazônia,1.3,20240929
55c443b0-c1f4-313b-bdcd-c85473b82928,-9.57911,-50.20358,2024-09-29 01:07:00,TERRA_M-M,SANTANA DO ARAGUAIA,PARÁ,Brasil,1506708,15,33,,,,Amazônia,22.9,20240929
